Skip these top lines!
A tab-delimited mapping of attributes to tags
Copied from:  http://www.w3.org/TR/html4/index/attributes.html on 10/7/2009
Legend: Deprecated, Loose DTD, Frameset DTD
Name 	Related Elements 	Type 	Default 	Depr. 	DTD 	Comment
onmouseout 	All elements but APPLET, BASE, BASEFONT, BDO, BR, FONT, FRAME, FRAMESET, HEAD, HTML, IFRAME, ISINDEX, META, PARAM, SCRIPT, STYLE, TITLE 	%Script; 	#IMPLIED 	  	  	a pointer was moved away
onmouseover 	All elements but APPLET, BASE, BASEFONT, BDO, BR, FONT, FRAME, FRAMESET, HEAD, HTML, IFRAME, ISINDEX, META, PARAM, SCRIPT, STYLE, TITLE 	%Script; 	#IMPLIED 	  	  	a pointer was moved onto
onmouseup 	All elements but APPLET, BASE, BASEFONT, BDO, BR, FONT, FRAME, FRAMESET, HEAD, HTML, IFRAME, ISINDEX, META, PARAM, SCRIPT, STYLE, TITLE 	%Script; 	#IMPLIED 	  	  	a pointer button was released
onreset 	FORM 	%Script; 	#IMPLIED 	  	  	the form was reset
onselect 	INPUT, TEXTAREA 	%Script; 	#IMPLIED 	  	  	some text was selected
onsubmit 	FORM 	%Script; 	#IMPLIED 	  	  	the form was submitted
onunload 	FRAMESET 	%Script; 	#IMPLIED 	  	F 	all the frames have been removed
onunload 	BODY 	%Script; 	#IMPLIED 	  	  	the document has been removed
profile 	HEAD 	%URI; 	#IMPLIED 	  	  	named dictionary of meta info
prompt 	ISINDEX 	%Text; 	#IMPLIED 	D 	L 	prompt message
readonly 	TEXTAREA 	(readonly) 	#IMPLIED 	  	  	 
readonly 	INPUT 	(readonly) 	#IMPLIED 	  	  	for text and passwd
rel 	A, LINK 	%LinkTypes; 	#IMPLIED 	  	  	forward link types
rev 	A, LINK 	%LinkTypes; 	#IMPLIED 	  	  	reverse link types
rows 	FRAMESET 	%MultiLengths; 	#IMPLIED 	  	F 	list of lengths, default: 100% (1 row)
rows 	TEXTAREA 	NUMBER 	#REQUIRED 	  	  	 
rowspan 	TD, TH 	NUMBER 	1 	  	  	number of rows spanned by cell
rules 	TABLE 	%TRules; 	#IMPLIED 	  	  	rulings between rows and cols
scheme 	META 	CDATA 	#IMPLIED 	  	  	select form of content
scope 	TD, TH 	%Scope; 	#IMPLIED 	  	  	scope covered by header cells
scrolling 	FRAME, IFRAME 	(yes | no | auto) 	auto 	  	F 	scrollbar or none
selected 	OPTION 	(selected) 	#IMPLIED 	  	  	 
shape 	AREA 	%Shape; 	rect 	  	  	controls interpretation of coords
shape 	A 	%Shape; 	rect 	  	  	for use with client-side image maps
size 	HR 	%Pixels; 	#IMPLIED 	D 	L 	 
size 	FONT 	CDATA 	#IMPLIED 	D 	L 	[+|-]nn e.g. size="+1", size="4"
size 	INPUT 	CDATA 	#IMPLIED 	  	  	specific to each type of field
size 	BASEFONT 	CDATA 	#REQUIRED 	D 	L 	base font size for FONT elements
size 	SELECT 	NUMBER 	#IMPLIED 	  	  	rows visible
span 	COL 	NUMBER 	1 	  	  	COL attributes affect N columns
span 	COLGROUP 	NUMBER 	1 	  	  	default number of columns in group
src 	SCRIPT 	%URI; 	#IMPLIED 	  	  	URI for an external script
src 	INPUT 	%URI; 	#IMPLIED 	  	  	for fields with images
src 	FRAME, IFRAME 	%URI; 	#IMPLIED 	  	F 	source of frame content
src 	IMG 	%URI; 	#REQUIRED 	  	  	URI of image to embed
standby 	OBJECT 	%Text; 	#IMPLIED 	  	  	message to show while loading
start 	OL 	NUMBER 	#IMPLIED 	D 	L 	starting sequence number
style 	All elements but BASE, BASEFONT, HEAD, HTML, META, PARAM, SCRIPT, STYLE, TITLE 	%StyleSheet; 	#IMPLIED 	  	  	associated style info
summary 	TABLE 	%Text; 	#IMPLIED 	  	  	purpose/structure for speech output
tabindex 	A, AREA, BUTTON, INPUT, OBJECT, SELECT, TEXTAREA 	NUMBER 	#IMPLIED 	  	  	position in tabbing order
target 	A, AREA, BASE, FORM, LINK 	%FrameTarget; 	#IMPLIED 	  	L 	render in this frame
text 	BODY 	%Color; 	#IMPLIED 	D 	L 	document text color
title 	All elements but BASE, BASEFONT, HEAD, HTML, META, PARAM, SCRIPT, TITLE 	%Text; 	#IMPLIED 	  	  	advisory title
type 	A, LINK 	%ContentType; 	#IMPLIED 	  	  	advisory content type
type 	OBJECT 	%ContentType; 	#IMPLIED 	  	  	content type for data
type 	PARAM 	%ContentType; 	#IMPLIED 	  	  	content type for value when valuetype=ref
type 	SCRIPT 	%ContentType; 	#REQUIRED 	  	  	content type of script language
type 	STYLE 	%ContentType; 	#REQUIRED 	  	  	content type of style language
type 	INPUT 	%InputType; 	TEXT 	  	  	what kind of widget is needed
type 	LI 	%LIStyle; 	#IMPLIED 	D 	L 	list item style
type 	OL 	%OLStyle; 	#IMPLIED 	D 	L 	numbering style
type 	UL 	%ULStyle; 	#IMPLIED 	D 	L 	bullet style
type 	BUTTON 	(button | submit | reset) 	submit 	  	  	for use as form button
usemap 	IMG, INPUT, OBJECT 	%URI; 	#IMPLIED 	  	  	use client-side image map
valign 	COL, COLGROUP, TBODY, TD, TFOOT, TH, THEAD, TR 	(top | middle | bottom | baseline) 	#IMPLIED 	  	  	vertical alignment in cells
value 	INPUT 	CDATA 	#IMPLIED 	  	  	Specify for radio buttons and checkboxes
value 	OPTION 	CDATA 	#IMPLIED 	  	  	defaults to element content
value 	PARAM 	CDATA 	#IMPLIED 	  	  	property value
value 	BUTTON 	CDATA 	#IMPLIED 	  	  	sent to server when submitted
value 	LI 	NUMBER 	#IMPLIED 	D 	L 	reset sequence number
valuetype 	PARAM 	(DATA | REF | OBJECT) 	DATA 	  	  	How to interpret value
version 	HTML 	CDATA 	%HTML.Version; 	D 	L 	Constant
vlink 	BODY 	%Color; 	#IMPLIED 	D 	L 	color of visited links
vspace 	APPLET, IMG, OBJECT 	%Pixels; 	#IMPLIED 	D 	L 	vertical gutter
width 	HR 	%Length; 	#IMPLIED 	D 	L 	 
width 	IFRAME 	%Length; 	#IMPLIED 	  	L 	frame width
width 	IMG, OBJECT 	%Length; 	#IMPLIED 	  	  	override width
width 	TABLE 	%Length; 	#IMPLIED 	  	  	table width
width 	TD, TH 	%Length; 	#IMPLIED 	D 	L 	width for cell
width 	APPLET 	%Length; 	#REQUIRED 	D 	L 	initial width
width 	COL 	%MultiLength; 	#IMPLIED 	  	  	column width specification
width 	COLGROUP 	%MultiLength; 	#IMPLIED 	  	  	The width of the element
width 	PRE 	NUMBER 	#IMPLIED 	D 	L 	 
pattern	INPUT 	CDATA 	#IMPLIED 	  	  	A regular expression that the control's value is checked against.  Only used when type is text, search, tel, url, or email.
placeholder	INPUT 	CDATA 	#IMPLIED 	  	  	A hint to the user of what can be entered in the control.  Only used when type is text, search, tel, url, or email.
required	INPUT 	CDATA 	#IMPLIED 	  	  	Marks this input as required before the form can be submitted.  Ignored when type is hidden, image, or a button type.
novalidate	FORM 	CDATA 	#IMPLIED 	  	  	Whether or not the form should be validated when it is submitted.  Default if omitted is false.

